Title,Rating
158. 霍爾的移動城堡,8.2 (427K)
159. 電話情殺案,8.2 (184K)
160. 亂世佳人,8.2 (327K)
161. V怪客,8.2 (1.2M)
162. 蠻牛,8.1 (371K)
163. 兩根槍管,8.1 (604K)
164. 私法爭鋒,8.1 (775K)
165. 謎樣的雙眼,8.2 (218K)
166. 蜘蛛人：無家日,8.2 (837K)
167. 腦筋急轉彎,8.1 (757K)
168. 意外,8.1 (538K)
169. 桂河大橋,8.1 (229K)
170. 猜火車,8.1 (712K)
171. 冰血暴,8.1 (705K)
172. 勇者無敵,8.1 (489K)
173. 經典老爺車,8.1 (800K)
174. 神鬼交鋒,8.1 (1.1M)
175. 龍貓,8.1 (364K)
176. 登峰造擊,8.1 (709K)
177. 克勞斯：聖誕節的秘密,8.2 (173K)
178. 哈利波特：死神的聖物2,8.1 (921K)
179. 天堂的孩子,8.2 (79K)
180. 銀翼殺手,8.1 (803K)
181. 自由之心,8.1 (727K)
182. 愛在黎明破曉時,8.1 (329K)
183. 歡迎來到布達佩斯大飯店,8.1 (862K)
184. 淘金記,8.1 (116K)
185. 賓漢,8.1 (249K)
186. 控制,8.1 (1M)
187. 亂世兒女,8.1 (178K)
188. 岸上風雲,8.1 (161K)
189. 鋼鐵英雄,8.1 (571K)
190. 以父之名,8.1 (183K)
191. 殺人回憶,8.1 (205K)
192. 將軍號,8.1 (96K)
193. 越戰獵鹿人,8.1 (354K)
194. 野草莓,8.1 (112K)
195. 黑獄亡魂,8.1 (178K)
196. 生命中最抓狂的小事,8.1 (210K)
197. 恐懼的代價,8.2 (65K)
198. 少年福爾摩斯,8.2 (54K)
199. 春風化雨,8.1 (525K)
200. 瘋狂麥斯：憤怒道,8.1 (1.1M)
201. 華府風雲,8.1 (119K)
202. 怪獸電力公司,8.1 (953K)
203. 大白鯊,8.1 (643K)
204. 馴龍高手,8.1 (778K)
205. 巧克力情緣,8.1 (184K)
206. 第七封印,8.1 (194K)
207. 賽道狂人,8.1 (440K)
208. 不存在的房間,8.1 (440K)
209. 謀殺綠腳趾,8.1 (841K)
210. 東京物語,8.1 (66K)
211. 料理鼠王,8.1 (792K)
212. 洛基,8.1 (612K)
213. 盧安達飯店,8.1 (366K)
214. 羅根,8.1 (807K)
215. 聖女貞德蒙難記,8.1 (59K)
216. 驚爆焦點,8.1 (491K)
217. 前進高棉,8.1 (430K)
218. 魔鬼終結者,8.1 (903K)
219. Jai Bhim,8.8 (211K)
220. 愛在日落巴黎時,8.1 (280K)
221. 決戰終點線,8.1 (501K)
222. 螢光幕後,8.1 (166K)
223. 站在我這邊,8.1 (429K)
224. 黃金時代,8.1 (69K)
225. 大法師,8.1 (439K)
226. 恨,8.1 (188K)
227. 綠野仙蹤,8.1 (418K)
228. 神鬼奇航：鬼盜船魔咒,8.1 (1.2M)
229. 阿拉斯加之死,8.1 (645K)
230. 超人特攻隊,8.0 (782K)
231. 生死問題,8.2 (41K)
232. 吾父吾子,8.2 (90K)
233. 忠犬小八,8.1 (302K)
234. 下女的誘惑,8.1 (164K)
235. 怒火之花,8.1 (98K)
236. 今天暫時停止,8.0 (665K)
237. 阿爾及爾之戰,8.1 (64K)
238. 愛是一條狗,8.1 (249K)
239. 蝴蝶夢,8.1 (143K)
240. 真善美,8.1 (250K)
241. 鐵窗喋血,8.1 (185K)
242. 大地之歌,8.2 (37K)
243. 鐵巨人,8.1 (217K)
244. 一夜風流,8.1 (109K)
245. 姊妹,8.1 (481K)
246. 四百擊,8.1 (125K)
247. 假面,8.1 (127K)
248. 萬世魔星,8.0 (416K)
249. 阿拉丁,8.0 (451K)
250. 誤殺瞞天記,8.2 (91K)
